,TMC,TMC_HERE,lat_x,lon_x,label
5116,112-05151,112N05151,29.977759999999996,-95.71376,10
5117,112N05151,112N05151,29.977759999999996,-95.71376,10
5118,112-05152,112N05152,29.986175,-95.73586,10
5119,112-05153,112N05153,30.004805,-95.784925,10
5120,112N05153,112N05153,30.004805,-95.784925,10
5121,112-05154,112N05154,30.01805,-95.82005,10
5122,112-05156,112N05156,30.032625,-95.85979,10
5123,112-05157,112N05157,30.044445000000003,-95.8913,10
5124,112-05168,112N05168,29.9403,-95.29132,10
5125,112N05168,112N05168,29.9403,-95.29132,10
5126,112-05169,112N05169,29.93975,-95.276755,5
5127,112N05169,112N05169,29.93975,-95.276755,5
5128,112-05502,112N05502,29.742140000000003,-95.14623,10
5129,112N05502,112N05502,29.742140000000003,-95.14623,10
5130,112-05505,112N05505,29.998815000000004,-95.58108,7
5131,112N05505,112N05505,29.998815000000004,-95.58108,7
5132,112-05506,112N05506,30.00325,-95.584595,7
5133,112N05506,112N05506,30.00325,-95.584595,7
5134,112-05507,112N05507,30.008945000000004,-95.588335,7
5135,112N05507,112N05507,30.008945000000004,-95.588335,7
5136,112-05508,112N05508,30.0333,-95.60354,9
5137,112N05508,112N05508,30.0333,-95.60354,9
5138,112-05850,112N05850,29.84641,-95.401365,7
5139,112N05850,112N05850,29.84641,-95.401365,7
5140,112-05851,112N05851,29.845584999999996,-95.38906,7
5141,112N05851,112N05851,29.845584999999996,-95.38906,7
5142,112-05852,112N05852,29.845915,-95.37359,7
5143,112-05853,112N05853,29.847230000000003,-95.352855,7
5144,112N05853,112N05853,29.847230000000003,-95.352855,7
5145,112-05855,112N05855,29.72986,-95.657155,7
5146,112-05856,112N05856,29.734185000000004,-95.648885,7
5147,112-05857,112N05857,29.735795000000003,-95.63399,7
5148,112-05858,112N05858,29.736105,-95.614895,7
5149,112N05858,112N05858,29.736105,-95.614895,7
5150,112-05859,112N05859,29.736425,-95.59731,9
5151,112N05859,112N05859,29.736425,-95.59731,9
5152,112-05860,112N05860,29.736715000000004,-95.58029499999999,9
5153,112N05860,112N05860,29.736715000000004,-95.58029499999999,9
5154,112-05861,112N05861,29.736925,-95.565145,7
5155,112N05861,112N05861,29.736925,-95.565145,7
5156,112-05862,112N05862,29.737135,-95.548695,7
5157,112N05862,112N05862,29.737135,-95.548695,7
5158,112-05863,112N05863,29.737354999999997,-95.530125,7
5159,112N05863,112N05863,29.737354999999997,-95.530125,7
5160,112-05864,112N05864,29.73757,-95.51115,7
5161,112N05864,112N05864,29.73757,-95.51115,7
5162,112-05865,112N05865,29.7378,-95.49269,7
5163,112N05865,112N05865,29.7378,-95.49269,7
5164,112-05866,112N05866,29.739565,-95.467635,1
5165,112N05866,112N05866,29.739565,-95.467635,1
5166,112-05867,112N05867,29.741440000000004,-95.450135,1
5167,112N05867,112N05867,29.741440000000004,-95.450135,1
5168,112-05868,112N05868,29.741909999999997,-95.435845,1
5169,112-05869,112N05869,29.7422,-95.42439499999999,1
5170,112-05870,112N05870,29.742459999999998,-95.414755,4
5171,112-05871,112N05871,29.742684999999998,-95.406415,4
5172,112-05872,112N05872,29.74465,-95.38684,4
5173,112-05875,112N05875,29.753175,-95.32961999999999,7
5174,112-05876,112N05876,29.748145,-95.31345,7
5175,112N05876,112N05876,29.748145,-95.31345,7
5176,112-05877,112N05877,29.736780000000003,-95.29047,7
5177,112-05879,112N05879,29.91928,-95.61033,7
5178,112N05879,112N05879,29.91928,-95.61033,7
5179,112-05880,112N05880,29.93961,-95.574465,7
5180,112N05880,112N05880,29.93961,-95.574465,7
5181,112-05881,112N05881,29.96263,-95.542905,7
5182,112N05881,112N05881,29.96263,-95.542905,7
5183,112-05882,112N05882,29.983775,-95.50585500000001,7
5184,112N05882,112N05882,29.983775,-95.50585500000001,7
5185,112-05883,112N05883,29.99086,-95.49298,7
5186,112-05884,112N05884,30.00043,-95.4757,7
5187,112N05884,112N05884,30.00043,-95.4757,7
5188,112-05885,112N05885,30.013445,-95.44893,7
5189,112N05885,112N05885,30.013445,-95.44893,7
5190,112-05886,112N05886,30.022534999999998,-95.422975,7
5191,112N05886,112N05886,30.022534999999998,-95.422975,7
5192,112-05890,112N05890,29.765735,-95.35678,2
